Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,1.000169,1.000323,1.000070,1.000144,1.000144,33994082293
2023-03-02,1.000132,1.000321,1.000023,1.000091,1.000091,28824873446
2023-03-03,1.000085,1.000360,1.000058,1.000100,1.000100,37747411845
2023-03-04,1.000098,1.000243,1.000072,1.000114,1.000114,18409338907
2023-03-05,1.000119,1.000238,1.000053,1.000107,1.000107,19088160147
2023-03-06,1.000098,1.000167,0.999974,1.000011,1.000011,24736796655
2023-03-07,1.000017,1.000081,0.999936,1.000013,1.000013,31500223933
2023-03-08,1.000016,1.000048,0.999963,1.000007,1.000007,31323198703
2023-03-09,1.000006,1.000043,0.999816,0.999986,0.999986,41653343124
2023-03-10,0.999979,1.003420,0.999866,1.003047,1.003047,55191206438
2023-03-11,1.003025,1.029628,1.002796,1.007690,1.007690,65038416671
2023-03-12,1.007690,1.016292,1.005939,1.007149,1.007149,48442153750
2023-03-13,1.007366,1.011596,1.001292,1.003870,1.003870,72852500939
2023-03-14,1.004052,1.006482,1.001852,1.003247,1.003247,74778462453
2023-03-15,1.003171,1.005407,1.001278,1.003946,1.003946,62575628923
2023-03-16,1.003946,1.004448,1.001129,1.002134,1.002134,46345690965
2023-03-17,1.002178,1.003719,1.000804,1.002326,1.002326,61866017598
2023-03-18,1.002197,1.003585,1.001139,1.002337,1.002337,47735900216
2023-03-19,1.002369,1.003424,1.001169,1.003007,1.003007,44405090365
2023-03-20,1.003047,1.003802,1.000976,1.001790,1.001790,54497686907
2023-03-21,1.001808,1.003556,0.999980,1.001536,1.001536,49904460369
2023-03-22,1.001498,1.002836,0.999640,1.001879,1.001879,50711682141
2023-03-23,1.001917,1.003147,0.999935,1.000960,1.000960,39641340671
2023-03-24,1.001180,1.001719,1.000027,1.001259,1.001259,40600299923
2023-03-25,1.001148,1.001666,1.000251,1.000848,1.000848,22544554979
2023-03-26,1.000904,1.001197,1.000107,1.000893,1.000893,21431041962
2023-03-27,1.000724,1.001065,0.999734,1.000233,1.000233,29216004744
2023-03-28,1.000047,1.000593,0.999605,1.000307,1.000307,27305773765
2023-03-29,1.000180,1.000694,0.999116,0.999989,0.999989,32050016572
2023-03-30,1.000088,1.000696,0.999458,1.000093,1.000093,34935146979
2023-03-31,1.000061,1.000638,0.999633,1.000124,1.000124,29809423853
2023-04-01,1.000078,1.000685,0.999719,1.000301,1.000301,19879792202
2023-04-02,1.000208,1.000638,0.999730,1.000237,1.000237,21255417929
2023-04-03,1.000359,1.000823,0.999626,1.000183,1.000183,33940605510
2023-04-04,0.999963,1.000781,0.999196,1.000214,1.000214,28651211704
2023-04-05,1.000170,1.000530,0.999557,1.000130,1.000130,29374587800
2023-04-06,1.000165,1.000750,0.999618,1.000554,1.000554,23758252949
2023-04-07,1.000358,1.000999,0.999572,1.000633,1.000633,19099660090
2023-04-08,1.000484,1.000965,0.999981,1.000424,1.000424,18174194744
2023-04-09,1.000455,1.000967,0.999873,1.000458,1.000458,19753710646
2023-04-10,1.000517,1.001130,0.999893,1.000437,1.000437,27938130200
2023-04-11,1.000493,1.001127,0.999952,1.001030,1.001030,30207674345
2023-04-12,1.000960,1.001530,1.000029,1.000721,1.000721,30471411545
2023-04-13,1.000238,1.001468,1.000235,1.000977,1.000977,30853738919
2023-04-14,1.001059,1.001336,0.999935,1.000722,1.000722,43263085148
2023-04-15,1.000795,1.001290,1.000292,1.000780,1.000780,23715727388
2023-04-16,1.000697,1.001188,0.999741,1.000536,1.000536,24405645675
2023-04-17,1.000410,1.001024,0.999914,1.000530,1.000530,32406207872
2023-04-18,1.000640,1.000875,0.999882,1.000408,1.000408,32344221199
2023-04-19,1.000439,1.000993,0.999942,1.000559,1.000559,42801912254
2023-04-20,1.000328,1.000990,0.999654,1.000221,1.000221,36282233270
2023-04-21,1.000244,1.000625,0.999469,1.000142,1.000142,34553496031
2023-04-22,1.000140,1.000868,0.999587,1.000185,1.000185,20337083601
2023-04-23,1.000139,1.000772,0.999698,1.000023,1.000023,19881820238
2023-04-24,1.000027,1.000800,0.999668,1.000121,1.000121,25519663344
2023-04-25,1.000106,1.000487,0.999691,1.000159,1.000159,25931247322
2023-04-26,1.000079,1.000896,0.999585,1.000282,1.000282,43664074716
2023-04-27,1.000451,1.000768,0.999458,0.999965,0.999965,35809974908
2023-04-28,1.000233,1.000967,0.999875,1.000696,1.000696,27117912216
2023-04-29,1.000761,1.000941,1.000243,1.000601,1.000601,16553983401
2023-04-30,1.000452,1.000901,1.000148,1.000438,1.000438,21489188232
2023-05-01,1.000555,1.000988,0.999677,1.000329,1.000329,29128129876
2023-05-02,1.000424,1.000970,0.999712,1.000434,1.000434,24895722187
2023-05-03,1.000445,1.000789,0.999940,1.000271,1.000271,29787863486
2023-05-04,1.000219,1.000800,1.000050,1.000451,1.000451,22536823772
2023-05-05,1.000405,1.001291,1.000082,1.001018,1.001018,29375040253
2023-05-06,1.001016,1.002118,1.000686,1.001834,1.001834,27117468583
2023-05-07,1.001809,1.002081,1.000965,1.001541,1.001541,18725657881
2023-05-08,1.001570,1.001905,1.000448,1.000926,1.000926,32860419478
2023-05-09,1.000934,1.001088,1.000080,1.000724,1.000724,22126554663
2023-05-10,1.000719,1.001385,0.999761,1.000834,1.000834,31704546238
2023-05-11,1.000810,1.001142,1.000109,1.000723,1.000723,26131663102
2023-05-12,1.000486,1.000923,0.999956,1.000581,1.000581,28824954947
2023-05-13,1.000512,1.001033,1.000241,1.000559,1.000559,15655448449
2023-05-14,1.000596,1.000802,1.000110,1.000513,1.000513,14874679168
2023-05-15,1.000455,1.000837,0.999935,1.000262,1.000262,21594744662
2023-05-16,1.000369,1.000727,0.999816,1.000116,1.000116,19841483059
2023-05-17,1.000077,1.000742,0.999598,1.000092,1.000092,24293380413
2023-05-18,1.000052,1.000485,0.999580,1.000077,1.000077,22493741162
